occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,name_to_use,description_text,check_ENA_with_GBIF,manual_verification_needed
,Bembidion lunatum,"Bembidion lunatum (Duftschmid, 1812)",6097886,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,Bembidion lunatum,Bembidion lunatum,"(Duftschmid, 1812) ",6097886,,original,,,
,Brachinus italicus,"Brachinus italicus (Dejean, 1831)",4474892,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Brachinus,Brachinus italicus,Brachinus italicus,"(Dejean, 1831) ",4474892,,original,,,
,Carabus excellens,"Carabus excellens Fabricius, 1798",4470820,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus excellens,Carabus excellens,"Fabricius, 1798",4470820,,original,,,
,Carabus planicollis,"Carabus planicollis Küster, 1846",4470748,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus planicollis,Carabus planicollis,"Küster, 1846",4470748,,original,,,
,Carabus kollari,"Carabus kollari Palliardi, 1825",4470829,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus kollari,Carabus kollari,"Palliardi, 1825",4470829,,original,,,
,Amara samnitica,"Amara samnitica A.Fiori, 1899",4472984,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara samnitica,Amara samnitica,"A.Fiori, 1899",4472984,,original,,,
,Carabus vagans,"Carabus vagans Olivier, 1795",4470478,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus vagans,Carabus vagans,"Olivier, 1795",4470478,,original,,,
,Carabus trojanus,"Carabus trojanus Dejean, 1826",4471152,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus trojanus,Carabus trojanus,"Dejean, 1826",4471152,,original,,,
,Cymindis miliaris,"Cymindis miliaris (Fabricius, 1801)",7970887,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cymindis,Cymindis miliaris,Cymindis miliaris,"(Fabricius, 1801) ",7970887,,original,,,
,Chlaenius festivus,"Chlaenius festivus (Panzer, 1796)",5754880,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Chlaenius,Chlaenius festivus,Chlaenius festivus,"(Panzer, 1796) ",5754880,,original,,,
