verbatimScientificName	description
Dryops subincanus	https://www.gbif.org/species/6944525
Dryops rufipes	https://www.gbif.org/species/6944610
Stethorus wollastoni	https://www.gbif.org/species/4452310
Stethorus gilvifrons	https://www.gbif.org/species/4452311
Scymnus laetificus	https://www.gbif.org/species/9057274
Dermestes hispanicus	https://www.gbif.org/species/4427379
Dryops championi	https://www.gbif.org/species/6944559
Dryops striatellus	https://www.gbif.org/species/6097327
Procas picipes	https://www.gbif.org/species/1247974
Aulonogyrus concinnus	https://www.gbif.org/species/5753522
Gyrinus colymbus	https://www.gbif.org/species/7004078
Gyrinus dejeani	https://www.gbif.org/species/7003992
Brychius glabratus	https://www.gbif.org/species/4470316
Haliplus kulleri	https://www.gbif.org/species/4470342
Haliplus maculatus	https://www.gbif.org/species/4470332
Haliplus rubidus	https://www.gbif.org/species/4470326
Haliplus andalusicus	https://www.gbif.org/species/4470328
Haliplus guttatus	https://www.gbif.org/species/4470330
Haliplus ruficeps	https://www.gbif.org/species/4470369
Haliplus varius	https://www.gbif.org/species/4470370
Augyles marmota	https://www.gbif.org/species/4428145
Augyles obliteratus	https://www.gbif.org/species/4428166
Augyles pruinosus	https://www.gbif.org/species/4428153
Augyles senescens	https://www.gbif.org/species/4428142
Augyles flavidus	https://www.gbif.org/species/4428134
Heterocerus holosericeus	https://www.gbif.org/species/4428100
Micilus murinus	https://www.gbif.org/species/4428171
Hydraena ludovicae	https://www.gbif.org/species/5748162
Hydraena phassilyi	https://www.gbif.org/species/5748188
Hydraena angustata	https://www.gbif.org/species/5748199
Hydraena imperatrix	https://www.gbif.org/species/10314161
Hydraena jailensis	https://www.gbif.org/species/5748114
Hydraena spinipes	https://www.gbif.org/species/5748035
Tytthaspis phalerata	https://www.gbif.org/species/4452260
Dryops griseus	https://www.gbif.org/species/6097322
Dryops sulcipennis	https://www.gbif.org/species/6944592
Hydraena paganettii	https://www.gbif.org/species/5748072
Hydraena hungarica	https://www.gbif.org/species/5748037
Limnebius punctatus	https://www.gbif.org/species/4448324
Cerapheles lateplagiatus	https://www.gbif.org/species/4449357
Limnichus angustulus	https://www.gbif.org/species/1032946
Bothriophorus atomus	https://www.gbif.org/species/1033323
Anthodromius bicolor	https://www.gbif.org/species/4450212
Cerallus brevicollis	https://www.gbif.org/species/4450216
Dasytes coerulescens	https://www.gbif.org/species/4449969
Dasytes croceipes	https://www.gbif.org/species/4449934
Ebaeus appendiculatus	https://www.gbif.org/species/4449351
Ebaeus pedicularius	https://www.gbif.org/species/9726977
Melyrosoma flavescens	https://www.gbif.org/species/4450224
Melyrosoma hirtum	https://www.gbif.org/species/4450222
Protapalochrus flavolimbatus	https://www.gbif.org/species/8706960
Limnichus inornatus	https://www.gbif.org/species/1032983
Melyris versicolor	https://www.gbif.org/species/4450229
Dellamora palposa	https://www.gbif.org/species/4456627
Pseudodellamora championi	https://www.gbif.org/species/4456615
Variimorda briantea	https://www.gbif.org/species/4456529
Variimorda hladili	https://www.gbif.org/species/4456534
Variimorda krikkeni	https://www.gbif.org/species/4456531
Melyrosoma artemisiae	https://www.gbif.org/species/4450223
Conalia baudii	https://www.gbif.org/species/4456477
Variimorda basalis	https://www.gbif.org/species/4456512
Mordellistena episternalis	https://www.gbif.org/species/4456661
Variimorda ragusai	https://www.gbif.org/species/4456527
Mordellistena micans	https://www.gbif.org/species/4456790
Mordellistena parvula	https://www.gbif.org/species/4456675
Mordellistena reitteri	https://www.gbif.org/species/4456689
Mordellistena rugipennis	https://www.gbif.org/species/4456823
Mordellistena sericata	https://www.gbif.org/species/4456730
Mordellistena stenidea	https://www.gbif.org/species/4456698
Mordellistena tenuicornis	https://www.gbif.org/species/4456806
Mordellistena emeryi	https://www.gbif.org/species/4456680
Melyris oblonga	https://www.gbif.org/species/4450231
Mordellaria aurofasciata	https://www.gbif.org/species/4456543
Limnichus lederi	https://www.gbif.org/species/1032950
Melyris bicolor	https://www.gbif.org/species/4450230
Melyrosoma oceanicum	https://www.gbif.org/species/4450220
Limnichus aurosericeus	https://www.gbif.org/species/4427668
Lampronia pubicornis	https://www.gbif.org/species/1860622
Agnoea flavifrontella	https://www.gbif.org/species/9768838
Denisia subaquilea	https://www.gbif.org/species/8090416
Ischnoscia borreonella	https://www.gbif.org/species/1856541
Leucoptera lotella	https://www.gbif.org/species/5119443
Euchromius ocellea	https://www.gbif.org/species/1891167
Catoptria furcatellus	https://www.gbif.org/species/1884297
Scythris siccella	https://www.gbif.org/species/1841963
Etone flava	https://www.gbif.org/species/1
Aricidea katarinae	https://www.gbif.org/species/2318625
Paraonella myriamae	https://www.gbif.org/species/8181212
