occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,Rhagonycha plagiella,"Rhagonycha plagiella Marseul, 1864",4429671,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha plagiella,Rhagonycha plagiella,"Marseul, 1864",4429671,
,Rhagonycha nigrosuta,"Rhagonycha nigrosuta Fiori, 1899",4429693,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha nigrosuta,Rhagonycha nigrosuta,"Fiori, 1899",4429693,
,Helophorus wrootae,"Helophorus wrootae Angus, 1988",8777071,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus wrootae,Helophorus wrootae,"Angus, 1988",8777071,
,Rhagonycha varians,"Rhagonycha varians (Rosenhauer, 1856)",4429695,EXACT,100,SYNONYM,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha translucida,Rhagonycha varians,"(Rosenhauer, 1856) ",4429695,4429749
,Rhagonycha striatofrons,"Rhagonycha striatofrons Dahlgren, 1972",4429827,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha striatofrons,Rhagonycha striatofrons,"Dahlgren, 1972",4429827,
,Hyperaspis guttulata,"Hyperaspis guttulata Fairmaire, 1870",9029481,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hyperaspis,Hyperaspis guttulata,Hyperaspis guttulata,"Fairmaire, 1870",9029481,
,Coccinella saucerottei,"Coccinella saucerottii Mulsant, 1850",7589465,FUZZY,98,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella saucerottii,Coccinella saucerottii,"Mulsant, 1850",7589465,
,Coccinella venusta,"Coccinella venusta Weise, 1879",6993392,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella venusta,Coccinella venusta,"Weise, 1879",6993392,
,Diomus rubidus,"Diomus rubidus (Motschulsky, 1837)",7686442,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Diomus,Diomus rubidus,Diomus rubidus,"(Motschulsky, 1837) ",7686442,
,Coelopterus salinus,"Coelopterus salinus Mulsant & Rey, 1852",4452482,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coelopterus,Coelopterus salinus,Coelopterus salinus,"Mulsant & Rey, 1852",4452482,
,Rhagonycha quadricollis,"Rhagonycha quadricollis Kiesenwetter, 1852",4429841,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha quadricollis,Rhagonycha quadricollis,"Kiesenwetter, 1852",4429841,
,Anisosticta strigata,"Anisosticta strigata (Thunberg, 1795)",4452219,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Anisosticta,Anisosticta strigata,Anisosticta strigata,"(Thunberg, 1795) ",4452219,
,Rhagonycha kiesenwetteri,"Rhagonycha kiesenwetteri (Marseul, 1864)",4429690,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha kiesenwetteri,Rhagonycha kiesenwetteri,"(Marseul, 1864) ",4429690,
,Rhagonycha kuleghana,"Rhagonycha kuleghana (Marseul, 1868)",4429829,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha kuleghana,Rhagonycha kuleghana,"(Marseul, 1868) ",4429829,
,Notoxus miles,"Notoxus miles W.L.E.Schmidt, 1842",4457601,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Notoxus,Notoxus miles,Notoxus miles,"W.L.E.Schmidt, 1842",4457601,
